question,ground_truth,prediction,correct
"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what? (A) bank (B) library (C) department store (D) mall (E) new york",A,A,True
What do people aim to do at work? (A) complete job (B) learn from each other (C) kill animals (D) wear hats (E) talk to each other,A,A,True
Where would you find magazines along side many other printed works? (A) doctor (B) bookstore (C) market (D) train station (E) mortuary,B,B,True
Where are  you likely to find a hamburger? (A) fast food restaurant (B) pizza (C) ground up dead cows (D) mouth (E) cow carcus,A,A,True
James was looking for a good place to buy farmland.  Where might he look? (A) midwest (B) countryside (C) estate (D) farming areas (E) illinois,A,A,True
What island country is ferret popular? (A) own home (B) north carolina (C) great britain (D) hutch (E) outdoors,C,C,True
In what Spanish speaking North American country can you get a great cup of coffee? (A) mildred's coffee shop (B) mexico (C) diner (D) kitchen (E) canteen,B,B,True
What do animals do when an enemy is approaching? (A) feel pleasure (B) procreate (C) pass water (D) listen to each other (E) sing,D,C,False
Reading newspaper one of many ways to practice your what? (A) literacy (B) knowing how to read (C) money (D) buying (E) money bank,A,A,True
What do people typically do while playing guitar? (A) cry (B) hear sounds (C) singing (D) arthritis (E) making music,C,D,False
What would vinyl be an odd thing to replace? (A) pants (B) record albums (C) record store (D) cheese (E) wallpaper,E,B,False
"If you want harmony, what is something you should try to do with the world? (A) take time (B) make noise (C) make war (D) make peace (E) make haste",D,D,True
Where does a heifer's master live? (A) farm house (B) barnyard (C) stockyard (D) slaughter house (E) eat cake,A,A,True
Aside from water and nourishment what does your dog need? (A) bone (B) charm (C) petted (D) lots of attention (E) walked,D,D,True
Janet was watching the film because she liked what? (A) erection (B) laughter (C) being entertained (D) fear (E) bordem,C,A,False
What are you waiting alongside with when you're in a reception area? (A) motel (B) chair (C) hospital (D) people (E) hotels,D,D,True
When drinking booze what can you do to stay busy? (A) reach tentative agreement (B) stay in bed (C) stop bicycle (D) examine thing (E) suicide,D,A,False
A fencing thrust with a sharp sword towards a person would result in what? (A) injury (B) small cuts (C) fever (D) competition (E) puncture wound,E,A,False
"Unlike a spider and his many sight seers, people only have what? (A) tongues (B) names (C) brains (D) feelings (E) two eyes",E,C,False
Where do adults use glue sticks? (A) classroom (B) desk drawer (C) at school (D) office (E) kitchen drawer,D,C,False
What could go on top of wood? (A) lumberyard (B) synagogue (C) floor (D) carpet (E) hardware store,D,C,False
"The artist was sitting quietly pondering, then suddenly he began to paint when what struck him? (A) sadness (B) anxiety (C) inspiration (D) discomfort (E) insights",C,A,False
"Though the thin film seemed fragile, for it's intended purpose it was actually nearly what? (A) indestructible (B) durable (C) undestroyable (D) indestructible (E) unbreakable",D,D,True
Where could you find a toilet that only friends can use? (A) rest area (B) school (C) stadium (D) apartment (E) hospital,D,A,False
"What is someone who isn't clever, bright, or competent called? (A) clumsy (B) ineffectual (C) dull (D) clumsy (E) stupid",E,B,False
When wildlife reproduce we often refer to what comes out as what? (A) raise children (B) have children (C) photo copy (D) offspring (E) accidently got pregnant somehow,D,D,True
"The weasel was becoming a problem, it kept getting into the chicken eggs kept in the what? (A) forrest (B) barn (C) public office (D) out of doors (E) freezer",B,B,True
Blue read material outside of his comfort zone because he wanted to gain what? (A) new perspective (B) entertained (C) understanding (D) hunger (E) tired eyes,A,A,True
After he got hired he hoped for success at his what? (A) vocation (B) new job (C) michigan (D) working hard (E) manual,B,C,False
Committing perjury is a serious what? (A) indictment (B) crime (C) violence (D) lie (E) go to jail,B,B,True
If you are prone to postpone work what will you have to do in order to finish on time? (A) eat (B) hasten (C) antedate (D) bring forward (E) advance,B,D,False
James wanted to find an old underground map from the 50s.  Where might he look for one? (A) library (B) subway station (C) county engineer's office (D) super market (E) home,A,A,True
"Sean was in a rush to get home, but the light turned yellow and he was forced to do what? (A) take time (B) dawdle (C) go slowly (D) ocean (E) slow down",E,A,False
Where would a person be doing when having to wait their turn? (A) have patience (B) get in line (C) sing (D) stand in line (E) turn left,D,B,False
"She was always helping at the senior center, it brought her what? (A) satisfaction (B) heart (C) feel better (D) pay (E) happiness",E,A,False
"The lock kept the steering wheel from moving, but the thief still took his chances and began to work on the what? (A) keep cloesd (B) train (C) ignition switch (D) drawer (E) firearm",C,C,True
Who is a police officer likely to work for? (A) beat (B) direct traffic (C) city (D) street (E) president,C,B,False
"If you have leftover cake, where would you put it? (A) quandry (B) refrigerator (C) oven (D) night stand (E) bakery",B,B,True
"A human wants to submerge himself in water, what should he use? (A) whirlpool bath (B) coffee cup (C) cup (D) soft drink (E) puddle",A,A,True
Where is a doormat likely to be in front of? (A) facade (B) front door (C) doorway (D) entrance porch (E) hallway,B,B,True
